,ifsz,formality_f,len_sent,sconj_per_sent,avg_dep_depth,verbs_per_sent,ttr,redundancy,herdans_c,root_ttr,pos_noun_ratio,pos_verb_ratio,pos_adj_ratio,pos_adv_ratio,pos_pron_ratio,pos_det_ratio,pos_adp_ratio,error_rate,sig_punct_ratio,sig_excl_per_sent,sig_q_per_sent,sig_ellipsis_per_sent,sig_quotes_ratio,sig_uppercase_ratio,sig_repeated_char_ratio,sig_avg_word_len,sig_long_word_ratio,sig_stopword_ratio,sig_digit_ratio,sig_percent_ratio,sig_intensifier_ratio,sig_se_per_sent,sig_hedge_ratio,sig_proper_like_ratio,sig_burstiness
ifsz,1.0,-0.3528460014066491,-0.8434371720175595,-0.3200873960664951,-0.7110988285409673,-0.49996090973374163,0.06061639366967942,-0.06061639366967942,0.10429585140693486,0.07682228990888013,-0.3020112437005446,0.24261091966164913,-0.14619097633616163,0.2540250976023274,0.23900414959080551,-0.0936255060231322,-0.3234071509624471,0.04082065624445863,0.3363986131773183,0.17539243096033957,0.2251583944137671,0.16904536187980407,0.06725645417885286,-0.09091685236128051,0.22753639965128317,-0.431881111742826,-0.41912181098092566,0.06815270068328025,0.1751549540503784,0.07895788954314517,0.08551327041432226,-0.3137563308276273,-0.05353366139967667,-0.19971476144013212,-0.4227568845811621
formality_f,-0.3528460014066491,1.0,0.18192485036249983,-0.44344350145740524,0.05663830199035723,-0.423140309427975,-0.11644591125800743,0.11644591125800743,-0.19357002300006707,-0.11270846208463091,0.8284689443214195,-0.8866413272093459,0.3258275761358485,-0.6910396360182872,-0.8053790529271279,0.3549790591219664,0.6989269538467148,0.06459129614429462,-0.13920070170547644,-0.12496795979192486,-0.20634420911197832,-0.07426762888415804,-0.26699532682871097,0.2477663380460282,-0.0010733723889495533,0.5314199745622477,0.48083269373438675,-0.22901019460368935,0.0785783276277421,0.015474300587785466,-0.14551714892659684,-0.16617689152936405,0.012347724494348128,0.4792260783584248,-0.048466579675896085
len_sent,-0.8434371720175595,0.18192485036249983,1.0,0.5032658374379626,0.7965889081754706,0.7022788688196534,-0.11625180855473684,0.11625180855473684,-0.15783161291612174,-0.07510011025834153,0.18217123000380359,-0.12230189268141729,0.0006191627281642709,-0.13120477635701122,-0.0822386467050932,0.009444922168311614,0.22468278789610766,-0.036862758626518,-0.25012604853037396,-0.1603501916157914,-0.23178272779097833,-0.14236350479854565,0.021966202115271765,0.10345157418939098,-0.22091817695291735,0.11559286895452144,0.13326752768677982,0.03877497430821354,-0.20986627001258004,-0.06336952172854263,-0.065790297098625,0.4068885793906186,0.0706483808522966,0.18256000894142616,0.5111424937378832
sconj_per_sent,-0.3200873960664951,-0.44344350145740524,0.5032658374379626,1.0,0.5118114262976631,0.7399071350814675,-0.030863513311061946,0.030863513311061946,-0.027850060434638283,0.003672171220358909,-0.3829269212583332,0.4553836763680328,-0.16784947518588963,0.32491460391808047,0.33221362350079536,-0.13525278444212724,-0.2546880651548759,-0.0761515351566844,-0.23328139526975145,-0.05472444864668498,-0.027306372321201308,-0.0722791987806434,0.14703695921508278,-0.15119098947777734,-0.14670221099300185,-0.23809488257251626,-0.20756197112551925,0.2295109744598628,-0.18760911601439725,-0.032792089932355786,0.03837360567949173,0.42297045629649954,0.05759703589438807,-0.20640760637110797,0.3315700427867148
avg_dep_depth,-0.7110988285409673,0.05663830199035723,0.7965889081754706,0.5118114262976631,1.0,0.6450322751028132,-0.14063619848903067,0.14063619848903067,-0.1245857477376572,0.05612494786630756,0.019181204010896836,0.011991825506989025,0.060278190485119794,-0.0924628051551308,0.03340237428663312,0.026380931854873797,0.14903664220373686,-0.025201762888774442,-0.3042941122166486,-0.1273731430492548,-0.1755312954534462,-0.14069621530743656,0.03066072510161998,-0.028439273282763054,-0.1576534301266261,0.12188180670533143,0.16114467669043694,0.1432692457666568,-0.15347332224752552,-0.047638184328838665,-0.045278686569584496,0.37253431302389073,0.06890198808557844,0.025758001379482625,0.5791776390951451
verbs_per_sent,-0.49996090973374163,-0.423140309427975,0.7022788688196534,0.7399071350814675,0.6450322751028132,1.0,0.012650161430690655,-0.012650161430690655,0.020055046106997258,-0.023615500094086916,-0.32619271392637866,0.5442139562671101,-0.15192191915915734,0.2326203212271453,0.36250858216021936,-0.09653455066371892,-0.17299983080389625,-0.07814385236825454,-0.28207451954646073,-0.10557434397115742,-0.12628951771432226,-0.12608987653225887,0.16760308305664803,-0.15188753153083465,-0.20489000587325445,-0.16968437384079363,-0.11235245501968341,0.14330154742658985,-0.20116426159389614,-0.07545074928341222,0.023650276015204957,0.4494315986882669,0.06287452109373676,-0.16847973812600073,0.4212761604209967
ttr,0.06061639366967942,-0.11644591125800743,-0.11625180855473684,-0.030863513311061946,-0.14063619848903067,0.012650161430690655,1.0,-1.0,0.9187500436819439,-0.5472204444901385,-0.05085928237507793,0.14504661773834449,0.0477796551659985,0.04208893289896565,0.1070776279168113,-0.11635446366555902,-0.14058437905362994,-0.02930049114609152,-0.023282455517065186,-0.006144595807755276,-0.10598761332864579,-0.08275968801069292,0.0365067790123202,-0.010374035764762089,-0.13722956200736586,0.011531438713227746,-0.039149220959454833,-0.20040792338364793,-0.10676334139019181,-0.27007627102608334,-0.08239742941185711,-0.04619696732192069,-0.13267023795670624,0.0668778005899644,-0.20917225516861093
redundancy,-0.06061639366967942,0.11644591125800743,0.11625180855473684,0.030863513311061946,0.14063619848903067,-0.012650161430690655,-1.0,1.0,-0.9187500436819439,0.5472204444901385,0.05085928237507793,-0.14504661773834449,-0.0477796551659985,-0.04208893289896565,-0.1070776279168113,0.11635446366555902,0.14058437905362994,0.02930049114609152,0.023282455517065186,0.006144595807755276,0.10598761332864579,0.08275968801069292,-0.0365067790123202,0.010374035764762089,0.13722956200736586,-0.011531438713227746,0.039149220959454833,0.20040792338364793,0.10676334139019181,0.27007627102608334,0.08239742941185711,0.04619696732192069,0.13267023795670624,-0.0668778005899644,0.20917225516861093
herdans_c,0.10429585140693486,-0.19357002300006707,-0.15783161291612174,-0.027850060434638283,-0.1245857477376572,0.020055046106997258,0.9187500436819439,-0.9187500436819439,1.0,-0.21493917657788011,-0.14055589169684085,0.19257621605236325,0.11895816328454338,0.12339297560812165,0.15836204785716806,-0.12398748699555931,-0.23972035747641765,0.047207280879513126,-0.0049153552183878926,0.04817723411314419,-0.0475564808846422,-0.03405172523649492,0.06685424154525002,-0.09899722170578827,-0.08544295639911198,0.03907017876525185,-0.026327781214355146,-0.22795976013725638,-0.08461466454826258,-0.23196605433657713,-0.035836029235728026,-0.07327154311062581,-0.07216378571312432,-0.030942472629743225,-0.15134227869470357
root_ttr,0.07682228990888013,-0.11270846208463091,-0.07510011025834153,0.003672171220358909,0.05612494786630756,-0.023615500094086916,-0.5472204444901385,0.5472204444901385,-0.21493917657788011,1.0,-0.16127175047434397,0.03537355146625533,0.13722849101870588,0.1451780311439279,0.0366321953456382,0.044365961958882046,-0.1963361463798093,0.1784982227297624,0.07542819802940477,0.15111053180211118,0.21100850950982203,0.16422785280650953,0.09011705069739985,-0.17197034917367315,0.19933317976509432,0.08384269188756353,0.05123988486002458,-0.003208415548148291,0.08427270158529304,0.19663057929750838,0.14299147729375725,-0.07310309924262033,0.1969389598239236,-0.22860227220739504,0.23954036614409208
